A1,A2,A3,A4,A5,A6,A7,A8,C
12,35,23.3333333333333,116.666666666667,B,86.3333333333333,A,108.333333333333,B
9,37,28.7777777777778,263.111111111111,C,103.777777777778,B,151.777777777778,D
12,21,10.5,126,C,51.5,B,91.5,D
12,46,19.1666666666667,195.5,A,87.1666666666667,A,120.166666666667,C
11,33,15,48,A,81,A,91,A
20,38,15.2,159.6,A,87.2,A,120.2,C
2,26,65,91,A,112,A,124,A
9,30,20,50,A,82,A,95,A
2,30,90,360,A,140,A,176,C
5,49,68.6,352.8,A,154.6,A,193.6,C
17,41,9.64705882352941,50.6470588235294,A,78.6470588235294,A,89.6470588235294,A
3,35,70,315,A,138,A,177,C
8,46,28.75,149.5,B,111.75,A,137.75,B
17,27,11.1176470588235,38.1176470588235,A,69.1176470588235,A,82.1176470588235,A
8,25,15.625,40.625,A,64.625,A,75.625,A
17,41,12.0588235294118,159.176470588235,A,81.0588235294118,A,111.058823529412,C
7,39,44.5714285714286,83.5714285714286,A,112.571428571429,A,122.571428571429,A
20,26,6.5,32.5,A,52.5,A,65.5,A
8,27,16.875,131.625,A,73.875,A,103.875,C
13,29,13.3846153846154,84.7692307692308,B,77.3846153846154,A,101.384615384615,B
7,37,31.7142857142857,137.428571428571,B,107.714285714286,A,129.714285714286,B
14,23,6.57142857142857,118.285714285714,C,53.5714285714286,B,93.5714285714286,D
4,26,32.5,117,B,81.5,A,101.5,B
14,22,9.42857142857143,31.4285714285714,A,59.4285714285714,A,71.4285714285714,A
19,50,10.5263157894737,121.052631578947,B,90.5263157894737,A,110.526315789474,B
11,33,18,51,A,84,A,95,A
8,32,16,96,B,70,A,94,B
18,23,8.94444444444444,95.8333333333333,A,56.9444444444444,A,95.9444444444444,C
18,29,9.66666666666667,154.666666666667,C,58.6666666666667,B,110.666666666667,D
15,23,6.13333333333333,116.533333333333,C,56.1333333333333,B,100.133333333333,D
1,27,189,216,A,252,A,263,A
7,42,36,234,A,104,A,134,C
6,26,26,156,A,73,A,112,C
18,49,13.6111111111111,125.222222222222,B,83.6111111111111,A,105.611111111111,B
19,37,7.78947368421053,134.368421052632,A,66.7894736842105,A,99.7894736842105,C
3,48,80,256,B,151,A,171,B
17,21,9.88235294117647,30.8823529411765,A,67.8823529411765,A,77.8823529411765,A
8,39,29.25,136.5,B,96.25,A,122.25,B
12,38,12.6666666666667,152,A,75.6666666666667,A,108.666666666667,C
4,35,43.75,315,C,102.75,B,146.75,D
6,41,41,328,C,110,B,158,D
9,46,35.7777777777778,245.333333333333,A,103.777777777778,A,133.777777777778,C
20,34,6.8,81.6,B,75.8,A,97.8,B
6,50,58.3333333333333,325,A,129.333333333333,A,165.333333333333,C
16,45,11.25,168.75,A,80.25,A,116.25,C
9,29,12.8888888888889,41.8888888888889,A,79.8888888888889,A,92.8888888888889,A
16,21,7.875,86.625,A,52.875,A,88.875,C
18,37,10.2777777777778,94.5555555555556,B,83.2777777777778,A,107.277777777778,B
14,49,21,280,C,110,B,150,D
13,44,16.9230769230769,121.846153846154,B,85.9230769230769,A,111.923076923077,B
12,44,25.6666666666667,139.333333333333,B,89.6666666666667,A,113.666666666667,B
6,26,30.3333333333333,225.333333333333,C,90.3333333333333,B,130.333333333333,D
19,26,6.84210526315789,32.8421052631579,A,57.8421052631579,A,70.8421052631579,A
9,42,23.3333333333333,65.3333333333333,A,90.3333333333333,A,100.333333333333,A
3,21,42,252,C,97,B,141,D
18,50,22.2222222222222,288.888888888889,C,95.2222222222222,B,135.222222222222,D
18,34,9.44444444444444,173.777777777778,C,79.4444444444444,B,131.444444444444,D
14,43,21.5,193.5,A,104.5,A,134.5,C
6,39,39,156,B,106,A,128,B
17,20,4.70588235294118,74.1176470588235,A,49.7058823529412,A,79.7058823529412,C
6,44,58.6666666666667,410.666666666667,C,132.666666666667,B,176.666666666667,D
9,22,19.5555555555556,83.1111111111111,B,66.5555555555556,A,86.5555555555556,B
19,28,10.3157894736842,153.263157894737,C,72.3157894736842,B,112.315789473684,D
14,21,10.5,126,C,67.5,B,115.5,D
3,34,79.3333333333333,340,A,153.333333333333,A,186.333333333333,C
2,27,54,81,A,103,A,115,A
5,50,40,180,B,114,A,138,B
6,36,42,78,A,112,A,122,A
18,34,11.3333333333333,90.6666666666667,B,75.3333333333333,A,101.333333333333,B
18,46,20.4444444444444,132.888888888889,B,105.444444444444,A,125.444444444444,B
13,30,18.4615384615385,193.846153846154,C,71.4615384615385,B,119.461538461538,D
18,40,13.3333333333333,53.3333333333333,A,85.3333333333333,A,95.3333333333333,A
10,46,23,207,A,89,A,122,C
6,26,21.6666666666667,95.3333333333333,B,78.6666666666667,A,102.666666666667,B
5,21,16.8,37.8,A,58.8,A,68.8,A
19,36,15.1578947368421,153.473684210526,A,78.1578947368421,A,114.157894736842,C
11,21,15.2727272727273,145.090909090909,C,67.2727272727273,B,115.272727272727,D
10,39,27.3,132.6,B,103.3,A,127.3,B
17,33,9.70588235294118,42.7058823529412,A,71.7058823529412,A,84.7058823529412,A
20,23,9.2,32.2,A,69.2,A,81.2,A
7,20,14.2857142857143,137.142857142857,C,58.2857142857143,B,106.285714285714,D
13,49,18.8461538461538,67.8461538461538,A,97.8461538461538,A,110.846153846154,A
15,30,12,42,A,63,A,76,A
7,28,24,52,A,79,A,91,A
1,30,240,540,B,300,A,326,B
4,40,70,330,A,131,A,167,C
20,48,19.2,268.8,C,93.2,B,137.2,D
13,41,15.7692307692308,227.076923076923,C,87.7692307692308,B,135.769230769231,D
5,28,44.8,291.2,C,94.8,B,142.8,D
19,34,14.3157894736842,96.6315789473684,B,75.3157894736842,A,101.315789473684,B
20,23,6.9,29.9,A,57.9,A,69.9,A
19,38,16,162,A,91,A,121,C
18,47,15.6666666666667,125.333333333333,B,88.6666666666667,A,110.666666666667,B
17,20,9.41176470588235,58.8235294117647,B,69.4117647058823,A,91.4117647058823,B
10,32,16,48,A,70,A,80,A
6,23,15.3333333333333,115,A,73.3333333333333,A,106.333333333333,C
2,43,172,215,A,240,A,252,A
10,34,13.6,142.8,A,76.6,A,106.6,C
4,33,41.25,74.25,A,98.25,A,110.25,A
20,25,10,35,A,72,A,84,A
8,23,23,184,C,69,B,121,D
3,29,58,174,B,123,A,143,B
10,24,19.2,86.4,B,70.2,A,94.2,B
4,38,38,228,A,102,A,138,C
20,43,10.75,53.75,A,89.75,A,101.75,A
11,42,22.9090909090909,64.9090909090909,A,98.9090909090909,A,109.909090909091,A
2,28,84,224,B,152,A,178,B
18,50,16.6666666666667,200,A,98.6666666666667,A,137.666666666667,C
9,48,32,160,B,103,A,129,B
20,32,11.2,129.6,A,67.2,A,103.2,C
6,44,58.6666666666667,308,A,140.666666666667,A,170.666666666667,C
5,47,56.4,206.8,B,137.4,A,159.4,B
19,21,5.52631578947368,106.105263157895,C,51.5263157894737,B,95.5263157894737,D
15,25,11.6666666666667,36.6666666666667,A,56.6666666666667,A,69.6666666666667,A
19,39,16.4210526315789,110.842105263158,B,94.4210526315789,A,118.421052631579,B
10,44,26.4,70.4,A,98.4,A,111.4,A
1,46,322,1104,A,392,A,431,C
20,41,10.25,102.5,B,91.25,A,111.25,B
10,49,39.2,264.6,A,116.2,A,152.2,C
2,45,157.5,607.5,A,234.5,A,267.5,C
8,38,23.75,185.25,A,82.75,A,118.75,C
11,34,12.3636363636364,92.7272727272727,B,71.3636363636364,A,97.3636363636364,B
20,47,18.8,65.8,A,89.8,A,101.8,A
12,46,15.3333333333333,184,A,97.3333333333333,A,130.333333333333,C
3,41,54.6666666666667,95.6666666666667,A,130.666666666667,A,143.666666666667,A
17,25,5.88235294117647,92.6470588235294,A,64.8823529411765,A,103.882352941176,C
18,33,11,176,C,69,B,109,D
19,21,4.42105263157895,50.8421052631579,B,52.4210526315789,A,76.4210526315789,B
12,47,31.3333333333333,235,A,98.3333333333333,A,128.333333333333,C
1,45,315,360,A,380,A,393,A
4,41,82,246,B,162,A,184,B
17,49,23.0588235294118,72.0588235294118,A,111.058823529412,A,124.058823529412,A
7,28,16,44,A,77,A,88,A
10,39,23.4,249.6,C,89.4,B,129.4,D
5,22,30.8,52.8,A,88.8,A,99.8,A
20,38,9.5,95,B,75.5,A,97.5,B
17,50,23.5294117647059,294.117647058824,C,106.529411764706,B,146.529411764706,D
12,30,12.5,127.5,A,64.5,A,100.5,C
20,22,4.4,105.6,C,65.4,B,117.4,D
4,24,48,216,A,103,A,139,C
9,32,17.7777777777778,99.5555555555556,B,69.7777777777778,A,91.7777777777778,B
3,36,72,108,A,148,A,159,A
1,28,168,392,B,223,A,247,B
14,28,8,72,B,70,A,94,B
17,41,16.8823529411765,231.529411764706,C,85.8823529411765,B,133.882352941176,D
11,28,15.2727272727273,129.818181818182,A,73.2727272727273,A,109.272727272727,C
20,22,6.6,57.2,B,61.6,A,87.6,B
17,24,5.64705882352941,118.588235294118,C,53.6470588235294,B,97.6470588235294,D
13,40,21.5384615384615,123.076923076923,B,87.5384615384615,A,113.538461538462,B
15,35,18.6666666666667,53.6666666666667,A,90.6666666666667,A,101.666666666667,A
14,49,14,63,A,85,A,97,A
3,41,109.333333333333,601.333333333333,C,171.333333333333,B,219.333333333333,D
18,33,11,132,A,75,A,114,C
18,22,7.33333333333333,29.3333333333333,A,57.3333333333333,A,70.3333333333333,A
14,31,13.2857142857143,88.5714285714286,B,77.2857142857143,A,97.2857142857143,B
14,37,13.2142857142857,150.642857142857,A,77.2142857142857,A,113.214285714286,C
13,30,9.23076923076923,156.923076923077,C,73.2307692307692,B,125.230769230769,D
5,37,59.2,288.6,A,135.2,A,168.2,C
10,24,16.8,122.4,A,66.8,A,96.8,C
20,29,7.25,145,C,57.25,B,101.25,D
6,33,44,308,C,109,B,161,D
19,32,13.4736842105263,181.894736842105,C,72.4736842105263,B,112.473684210526,D
15,41,13.6666666666667,164,A,89.6666666666667,A,122.666666666667,C
19,47,14.8421052631579,61.8421052631579,A,94.8421052631579,A,106.842105263158,A
13,40,18.4615384615385,233.846153846154,C,96.4615384615385,B,148.461538461538,D
10,31,24.8,55.8,A,83.8,A,96.8,A
9,34,15.1111111111111,49.1111111111111,A,83.1111111111111,A,95.1111111111111,A
8,43,43,86,A,111,A,123,A
15,45,15,240,C,92,B,144,D
15,21,8.4,88.2,A,55.4,A,88.4,C
18,41,15.9444444444444,227.777777777778,C,84.9444444444444,B,136.944444444444,D
19,28,11.7894736842105,39.7894736842105,A,62.7894736842105,A,72.7894736842105,A
4,20,20,160,C,66,B,118,D
14,47,23.5,282,C,91.5,B,135.5,D
7,33,37.7142857142857,70.7142857142857,A,97.7142857142857,A,108.714285714286,A
9,37,28.7777777777778,131.555555555556,B,90.7777777777778,A,114.777777777778,B
10,28,19.6,142.8,A,81.6,A,111.6,C
14,49,14,126,B,95,A,119,B
15,27,10.8,113.4,A,58.8,A,94.8,C
9,32,24.8888888888889,170.666666666667,A,93.8888888888889,A,123.888888888889,C
7,27,30.8571428571429,115.714285714286,B,85.8571428571429,A,105.857142857143,B
1,36,144,180,A,207,A,218,A
14,23,11.5,34.5,A,74.5,A,84.5,A
10,50,35,85,A,106,A,119,A
18,23,6.38888888888889,58.7777777777778,B,59.3888888888889,A,85.3888888888889,B
1,21,147,672,C,201,B,253,D
16,48,12,60,A,100,A,111,A
9,22,14.6666666666667,146.666666666667,C,56.6666666666667,B,100.666666666667,D
12,44,29.3333333333333,146.666666666667,B,113.333333333333,A,133.333333333333,B
10,48,19.2,201.6,A,88.2,A,124.2,C
19,29,7.63157894736842,146.526315789474,C,73.6315789473684,B,113.631578947368,D
7,47,47,188,B,126,A,152,B
10,37,25.9,125.8,B,96.9,A,122.9,B
11,49,31.1818181818182,240.545454545455,A,101.181818181818,A,131.181818181818,C
18,29,9.66666666666667,154.666666666667,C,68.6666666666667,B,116.666666666667,D
3,46,76.6666666666667,490.666666666667,C,162.666666666667,B,202.666666666667,D
14,30,17.1428571428571,47.1428571428571,A,78.1428571428571,A,88.1428571428571,A
14,33,18.8571428571429,103.714285714286,B,90.8571428571429,A,116.857142857143,B
7,34,24.2857142857143,174.857142857143,A,92.2857142857143,A,125.285714285714,C
7,20,11.4285714285714,62.8571428571429,B,67.4285714285714,A,91.4285714285714,B
1,22,110,132,A,155,A,168,A
10,41,32.8,73.8,A,107.8,A,119.8,A
7,36,25.7142857142857,246.857142857143,C,88.7142857142857,B,136.714285714286,D
5,39,39,234,A,105,A,144,C
3,25,66.6666666666667,91.6666666666667,A,126.666666666667,A,136.666666666667,A
8,48,48,192,B,121,A,141,B
12,48,20,68,A,91,A,103,A
6,23,26.8333333333333,99.6666666666667,B,79.8333333333333,A,105.833333333333,B
19,46,9.68421052631579,55.6842105263158,A,87.6842105263158,A,100.684210526316,A
3,30,80,440,C,136,B,176,D
14,23,8.21428571428571,31.2142857142857,A,69.2142857142857,A,82.2142857142857,A
13,38,11.6923076923077,99.3846153846154,B,70.6923076923077,A,96.6923076923077,B
1,41,246,861,A,326,A,362,C
5,50,80,130,A,163,A,174,A
13,36,22.1538461538462,232.615384615385,C,89.1538461538462,B,141.153846153846,D
11,47,25.6363636363636,290.545454545455,C,105.636363636364,B,149.636363636364,D
10,44,17.6,184.8,A,85.6,A,115.6,C
13,26,10,72,B,70,A,94,B
19,38,8,138,A,78,A,114,C
6,45,45,90,A,128,A,139,A
16,41,10.25,102.5,B,86.25,A,108.25,B
20,50,17.5,270,C,101.5,B,141.5,D
18,21,8.16666666666667,29.1666666666667,A,65.1666666666667,A,76.1666666666667,A
6,49,57.1666666666667,424.666666666667,C,133.166666666667,B,173.166666666667,D
17,39,16.0588235294118,55.0588235294118,A,83.0588235294118,A,93.0588235294118,A
18,30,10,80,B,78,A,98,B
17,33,15.5294117647059,97.0588235294118,B,82.5294117647059,A,104.529411764706,B
8,33,16.5,198,C,81.5,B,125.5,D
5,32,44.8,153.6,B,114.8,A,136.8,B
6,25,16.6666666666667,41.6666666666667,A,73.6666666666667,A,83.6666666666667,A
18,24,6.66666666666667,122.666666666667,C,57.6666666666667,B,105.666666666667,D
18,24,9.33333333333333,66.6666666666667,B,61.3333333333333,A,81.3333333333333,B
11,44,28,144,B,105,A,125,B
14,30,10.7142857142857,40.7142857142857,A,68.7142857142857,A,79.7142857142857,A
17,30,10.5882352941176,40.5882352941176,A,75.5882352941177,A,85.5882352941177,A
19,36,15.1578947368421,153.473684210526,A,86.1578947368421,A,119.157894736842,C
16,50,15.625,65.625,A,85.625,A,97.625,A
17,23,9.47058823529412,32.4705882352941,A,59.4705882352941,A,69.4705882352941,A
14,31,15.5,139.5,A,77.5,A,110.5,C
13,24,7.38461538461539,31.3846153846154,A,56.3846153846154,A,66.3846153846154,A
17,23,10.8235294117647,33.8235294117647,A,55.8235294117647,A,68.8235294117647,A
20,35,10.5,45.5,A,83.5,A,95.5,A
4,45,67.5,337.5,A,141.5,A,180.5,C
10,45,36,81,A,108,A,119,A
5,27,27,216,C,81,B,125,D
5,21,25.2,46.2,A,71.2,A,81.2,A
17,30,14.1176470588235,44.1176470588235,A,65.1176470588235,A,77.1176470588235,A
3,37,86.3333333333333,246.666666666667,B,144.333333333333,A,168.333333333333,B
5,43,68.8,223.6,B,150.8,A,176.8,B
18,43,19.1111111111111,62.1111111111111,A,99.1111111111111,A,110.111111111111,A
13,32,9.84615384615385,167.384615384615,C,71.8461538461538,B,119.846153846154,D
16,38,9.5,47.5,A,79.5,A,91.5,A
14,25,7.14285714285714,96.4285714285714,A,62.1428571428571,A,98.1428571428571,C
10,50,35,340,C,112,B,156,D
20,30,10.5,121.5,A,78.5,A,114.5,C
10,28,16.8,89.6,B,64.8,A,86.8,B
15,28,7.46666666666667,141.866666666667,C,72.4666666666667,B,124.466666666667,D
7,30,30,60,A,98,A,109,A
17,49,11.5294117647059,181.588235294118,A,98.5294117647059,A,137.529411764706,C
10,38,30.4,68.4,A,106.4,A,118.4,A
11,45,20.4545454545455,261.818181818182,C,94.4545454545455,B,142.454545454545,D
8,36,31.5,270,C,102.5,B,154.5,D
4,26,45.5,286,C,99.5,B,147.5,D
11,26,11.8181818181818,151.272727272727,C,76.8181818181818,B,116.818181818182,D
2,48,144,576,A,228,A,267,C
14,32,11.4285714285714,86.8571428571429,B,70.4285714285714,A,90.4285714285714,B
14,25,7.14285714285714,64.2857142857143,B,53.1428571428571,A,79.1428571428571,B
10,28,19.6,190.4,C,70.6,B,122.6,D
4,30,37.5,67.5,A,88.5,A,100.5,A
14,20,5.71428571428571,77.1428571428571,A,56.7142857142857,A,92.7142857142857,C
12,38,12.6666666666667,152,A,80.6666666666667,A,110.666666666667,C
10,45,31.5,229.5,A,100.5,A,136.5,C
17,33,7.76470588235294,122.294117647059,A,61.7647058823529,A,91.7647058823529,C
10,36,25.2,122.4,B,93.2,A,113.2,B
19,34,12.5263157894737,93.0526315789474,B,76.5263157894737,A,98.5263157894737,B
19,21,7.73684210526316,57.4736842105263,B,57.7368421052632,A,81.7368421052632,B
3,46,107.333333333333,306.666666666667,B,174.333333333333,A,198.333333333333,B
10,49,29.4,235.2,A,103.4,A,142.4,C
19,46,19.3684210526316,130.736842105263,B,89.3684210526316,A,113.368421052632,B
17,46,16.2352941176471,62.2352941176471,A,91.2352941176471,A,101.235294117647,A
18,29,12.8888888888889,125.666666666667,A,81.8888888888889,A,111.888888888889,C
19,26,9.57894736842105,142.315789473684,C,69.5789473684211,B,113.578947368421,D
15,35,14,49,A,76,A,86,A
4,25,43.75,275,C,100.75,B,144.75,D
12,38,19,228,C,78,B,130,D
20,48,16.8,259.2,C,89.8,B,129.8,D
19,47,14.8421052631579,61.8421052631579,A,89.8421052631579,A,101.842105263158,A
4,25,43.75,68.75,A,90.75,A,103.75,A
3,34,56.6666666666667,272,A,127.666666666667,A,157.666666666667,C
6,43,35.8333333333333,236.5,A,107.833333333333,A,146.833333333333,C
20,41,10.25,102.5,B,80.25,A,102.25,B
15,40,18.6666666666667,117.333333333333,B,80.6666666666667,A,102.666666666667,B
20,33,13.2,92.4,B,69.2,A,95.2,B
5,37,51.8,88.8,A,125.8,A,138.8,A
15,41,13.6666666666667,54.6666666666667,A,80.6666666666667,A,93.6666666666667,A
13,39,21,60,A,96,A,108,A
5,33,52.8,257.4,A,105.8,A,135.8,C
15,35,11.6666666666667,93.3333333333333,B,77.6666666666667,A,101.666666666667,B
19,40,10.5263157894737,151.578947368421,A,90.5263157894737,A,120.526315789474,C
9,44,19.5555555555556,63.5555555555556,A,92.5555555555556,A,105.555555555556,A
11,24,17.4545454545455,124.363636363636,A,74.4545454545455,A,104.454545454545,C
15,21,8.4,117.6,C,58.4,B,98.4,D
5,45,72,117,A,145,A,157,A
16,39,14.625,214.5,C,88.625,B,132.625,D
5,27,37.8,64.8,A,94.8,A,106.8,A
15,32,14.9333333333333,187.733333333333,C,82.9333333333333,B,130.933333333333,D
18,46,15.3333333333333,245.333333333333,C,95.3333333333333,B,135.333333333333,D
16,44,22,66,A,103,A,114,A
16,39,9.75,48.75,A,73.75,A,84.75,A
18,47,15.6666666666667,62.6666666666667,A,85.6666666666667,A,95.6666666666667,A
19,30,11.0526315789474,41.0526315789474,A,72.0526315789474,A,83.0526315789474,A
3,40,106.666666666667,146.666666666667,A,178.666666666667,A,189.666666666667,A
9,36,20,56,A,80,A,92,A
9,30,23.3333333333333,53.3333333333333,A,93.3333333333333,A,105.333333333333,A
12,42,17.5,178.5,A,87.5,A,117.5,C
18,40,8.88888888888889,195.555555555556,C,68.8888888888889,B,108.888888888889,D
17,50,14.7058823529412,64.7058823529412,A,86.7058823529412,A,96.7058823529412,A
4,46,69,230,B,153,A,173,B
15,49,22.8666666666667,215.6,A,111.866666666667,A,141.866666666667,C
18,23,6.38888888888889,58.7777777777778,B,64.3888888888889,A,84.3888888888889,B
7,37,42.2857142857143,317.142857142857,C,100.285714285714,B,144.285714285714,D
17,34,16,50,A,74,A,85,A
6,38,31.6666666666667,139.333333333333,B,98.6666666666667,A,120.666666666667,B
8,46,28.75,74.75,A,104.75,A,116.75,A
7,29,16.5714285714286,91.1428571428571,B,69.5714285714286,A,91.5714285714286,B
2,27,81,108,A,146,A,158,A
10,32,12.8,44.8,A,75.8,A,86.8,A
15,20,8,28,A,56,A,69,A
4,26,52,312,C,116,B,160,D
2,33,99,396,A,159,A,198,C
11,33,15,48,A,71,A,83,A
6,43,28.6666666666667,71.6666666666667,A,102.666666666667,A,115.666666666667,A
13,31,11.9230769230769,42.9230769230769,A,71.9230769230769,A,82.9230769230769,A
18,39,13,208,C,86,B,134,D
20,45,9,108,B,84,A,110,B
5,37,29.6,133.2,B,101.6,A,123.6,B
2,22,77,396,C,124,B,172,D
16,47,14.6875,185.0625,A,91.6875,A,130.6875,C
3,39,52,364,C,128,B,168,D
17,36,16.9411764705882,211.764705882353,C,72.9411764705882,B,112.941176470588,D
20,22,4.4,79.2,A,61.4,A,94.4,C
11,40,18.1818181818182,174.545454545455,A,97.1818181818182,A,133.181818181818,C
9,41,31.8888888888889,291.555555555556,C,107.888888888889,B,155.888888888889,D
17,36,16.9411764705882,211.764705882353,C,88.9411764705882,B,132.941176470588,D
14,34,17,102,B,71,A,93,B
8,37,32.375,208.125,A,97.375,A,136.375,C
2,42,168,210,A,241,A,254,A
6,22,22,88,B,76,A,96,B
13,41,12.6153846153846,160.846153846154,A,79.6153846153846,A,109.615384615385,C
6,33,44,231,A,100,A,133,C
16,47,11.75,117.5,B,97.75,A,121.75,B
11,30,21.8181818181818,155.454545454545,A,85.8181818181818,A,124.818181818182,C
17,33,11.6470588235294,133.941176470588,A,70.6470588235294,A,100.647058823529,C
6,46,61.3333333333333,214.666666666667,B,144.333333333333,A,170.333333333333,B
3,26,60.6666666666667,86.6666666666667,A,106.666666666667,A,116.666666666667,A
16,36,9,45,A,72,A,84,A
13,24,11.0769230769231,35.0769230769231,A,75.0769230769231,A,86.0769230769231,A
12,33,13.75,46.75,A,84.75,A,94.75,A
10,21,10.5,63,B,67.5,A,93.5,B
16,36,11.25,94.5,B,74.25,A,94.25,B
16,24,7.5,31.5,A,66.5,A,79.5,A
12,29,14.5,87,B,72.5,A,96.5,B
4,33,49.5,330,C,109.5,B,161.5,D
15,28,14.9333333333333,85.8666666666667,B,62.9333333333333,A,86.9333333333333,B
10,37,18.5,166.5,A,83.5,A,116.5,C
2,41,164,410,B,238,A,260,B
11,37,26.9090909090909,127.818181818182,B,102.909090909091,A,126.909090909091,B
2,33,132,165,A,188,A,200,A
12,22,7.33333333333333,117.333333333333,C,55.3333333333333,B,103.333333333333,D
6,39,32.5,71.5,A,100.5,A,113.5,A
16,43,16.125,59.125,A,98.125,A,110.125,A
2,23,46,276,C,104,B,148,D
1,30,150,360,B,213,A,235,B
19,48,17.6842105263158,131.368421052632,B,93.6842105263158,A,115.684210526316,B
2,49,98,294,B,174,A,194,B
18,39,17.3333333333333,169,A,77.3333333333333,A,110.333333333333,C
2,49,171.5,441,B,247.5,A,271.5,B
19,32,8.42105263157895,121.263157894737,A,73.4210526315789,A,106.421052631579,C
16,48,21,276,C,97,B,137,D
6,28,23.3333333333333,51.3333333333333,A,79.3333333333333,A,91.3333333333333,A
8,30,30,60,A,80,A,93,A
13,49,30.1538461538462,316.615384615385,C,100.153846153846,B,140.153846153846,D
1,48,192,240,A,277,A,287,A
3,24,56,320,C,105,B,153,D
3,29,58,348,C,107,B,159,D
7,26,29.7142857142857,167.142857142857,A,77.7142857142857,A,110.714285714286,C
15,30,16,46,A,79,A,91,A
3,35,46.6666666666667,245,A,101.666666666667,A,131.666666666667,C
17,39,9.17647058823529,48.1764705882353,A,72.1764705882353,A,82.1764705882353,A
5,35,49,84,A,104,A,116,A
6,50,41.6666666666667,91.6666666666667,A,112.666666666667,A,122.666666666667,A
11,39,14.1818181818182,212.727272727273,C,89.1818181818182,B,141.181818181818,D
10,37,18.5,222,C,76.5,B,124.5,D
17,35,10.2941176470588,90.5882352941177,B,77.2941176470588,A,103.294117647059,B
4,41,41,82,A,111,A,121,A
15,49,13.0666666666667,186.2,A,93.0666666666667,A,129.066666666667,C
7,46,32.8571428571429,236.571428571429,A,108.857142857143,A,138.857142857143,C
16,36,18,216,C,94,B,142,D
11,47,25.6363636363636,290.545454545455,C,99.6363636363636,B,139.636363636364,D
10,39,19.5,175.5,A,79.5,A,115.5,C
16,36,18,162,A,78,A,111,C
7,49,42,364,C,121,B,161,D
3,48,64,224,B,136,A,162,B
15,29,11.6,121.8,A,79.6,A,115.6,C
1,35,245,560,B,303,A,327,B
20,30,6,72,B,74,A,96,B
3,48,112,160,A,194,A,207,A
7,45,45,270,A,121,A,160,C
11,32,11.6363636363636,43.6363636363636,A,65.6363636363636,A,75.6363636363636,A
18,42,9.33333333333333,205.333333333333,C,79.3333333333333,B,123.333333333333,D
19,43,15.8421052631579,235.368421052632,C,97.8421052631579,B,145.842105263158,D
14,50,25,225,A,98,A,134,C
17,22,10.3529411764706,32.3529411764706,A,68.3529411764706,A,79.3529411764706,A
4,39,78,468,C,150,B,190,D
5,31,37.2,204.6,A,98.2,A,137.2,C
18,29,11.2777777777778,80.5555555555556,B,79.2777777777778,A,99.2777777777778,B
8,50,37.5,87.5,A,125.5,A,136.5,A
4,45,78.75,371.25,A,143.75,A,182.75,C
3,26,60.6666666666667,346.666666666667,C,125.666666666667,B,177.666666666667,D
15,23,6.13333333333333,29.1333333333333,A,50.1333333333333,A,63.1333333333333,A
20,31,7.75,116.25,A,74.75,A,104.75,C
13,49,18.8461538461538,67.8461538461538,A,97.8461538461538,A,110.846153846154,A
14,22,9.42857142857143,125.714285714286,C,59.4285714285714,B,103.428571428571,D
14,26,7.42857142857143,100.285714285714,A,66.4285714285714,A,105.428571428571,C
4,34,68,102,A,125,A,137,A
3,44,58.6666666666667,205.333333333333,B,125.666666666667,A,149.666666666667,B
13,39,18,114,B,97,A,117,B
19,43,18.1052631578947,61.1052631578947,A,88.1052631578947,A,100.105263157895,A
2,38,133,342,B,208,A,230,B
20,22,7.7,89.1,A,52.7,A,85.7,C
12,24,10,136,C,60,B,112,D
10,42,25.2,67.2,A,95.2,A,105.2,A
14,28,14,168,C,65,B,117,D
3,32,85.3333333333333,352,A,142.333333333333,A,172.333333333333,C
1,48,384,1296,A,453,A,486,C
3,41,109.333333333333,451,A,181.333333333333,A,214.333333333333,C
2,40,120,160,A,181,A,191,A
10,41,28.7,139.4,B,102.7,A,128.7,B
11,22,12,102,A,73,A,112,C
19,49,10.3157894736842,59.3157894736842,A,88.3157894736842,A,101.315789473684,A
1,39,234,819,A,303,A,336,C
10,28,19.6,95.2,B,71.6,A,91.6,B
19,44,18.5263157894737,125.052631578947,B,95.5263157894737,A,119.526315789474,B
15,43,17.2,60.2,A,80.2,A,90.2,A
9,37,28.7777777777778,65.7777777777778,A,102.777777777778,A,115.777777777778,A
1,34,272,612,B,326,A,352,B
16,42,21,63,A,100,A,110,A
1,43,215,774,A,289,A,328,C
6,42,56,294,A,134,A,167,C
3,29,67.6666666666667,386.666666666667,C,127.666666666667,B,179.666666666667,D
17,21,6.17647058823529,54.3529411764706,B,50.1764705882353,A,70.1764705882353,B
11,20,14.5454545454545,69.0909090909091,B,59.5454545454545,A,85.5454545454545,B
18,45,12.5,115,B,77.5,A,97.5,B
17,42,19.7647058823529,123.529411764706,B,85.7647058823529,A,105.764705882353,B
16,49,18.375,67.375,A,106.375,A,118.375,A
8,41,20.5,184.5,A,91.5,A,124.5,C
5,40,40,240,A,109,A,142,C
10,29,23.2,104.4,B,73.2,A,97.2,B
5,44,44,176,B,113,A,135,B
9,47,20.8888888888889,67.8888888888889,A,89.8888888888889,A,100.888888888889,A
16,34,10.625,133.875,A,66.625,A,105.625,C
9,33,25.6666666666667,58.6666666666667,A,93.6666666666667,A,106.666666666667,A
11,22,14,72,B,70,A,96,B
